USER,SCORE,POWERUPS


Player1,1,1
Player1,2,2
Player1,3,3
Player1,4,4
Player1,5,5
Player1,6,6
Player1,7,7
Player1,8,8
Player1,9,9
Player1,10,10
Player1,11,11
Player1,12,12
Player1,13,13
Player,10,1
Player,20,2
Player,30,3
Player,10,1
Player,20,2
Player,30,3
Player,40,4
Player,50,5
Player,60,6
Player,70,7
Player,80,8
Player,90,9
Player,100,10
Player,110,11
Player,120,12
Player,130,13
Player,10,1
Player,20,2
Player,10,1
Player,20,2
Player,30,3
Player,40,4
Player,50,5
Player,60,6
Player,70,7
Player,80,8
Player,90,9
Player,10,1
Player,20,2
Player,30,3
Player,40,4
Player,50,5
Player,60,6
Player,70,7
Player,10,1
Player,20,2
Player,30,3
Player,40,4
Player,10,1
Player,20,2
Player,30,3
Player,40,4
Player,50,5
Player,10,1
Player,20,2
Player,30,3
Player,40,4
Player,50,5
Player,60,6
Player,70,7
Player,80,8
Player,90,9
